ID,Name,Team,Pos,Price,14_pts,15_pts,16_pts,17_pts,18_pts,19_pts,20_pts
65,"Enes Ünal",BOU,FWD,5.4,1.47632,1.42878,1.62529,1.49049,1.67154,1.47042,1.64426
66,Faivre,BOU,MID,5,0,0,0,0,0,0,0
67,H.Traorè,BOU,MID,4.5,0,0,0,0,0,0,0
68,Hill,BOU,DEF,4,0.0191,0.01857,0.01865,0.02048,0.01805,0.02067,0.01745
69,Jebbison,BOU,FWD,4.5,0,0,0,0,0,0,0
70,Kerkez,BOU,DEF,4.4,2.5714,2.29925,2.58912,2.49626,2.53718,2.51433,2.46457
71,Kluivert,BOU,MID,5.3,3.17198,4.12228,4.39103,4.70272,4.48612,4.75275,4.44103
72,Mepham,BOU,DEF,4.4,0,0,0,0,0,0,0
73,Neto,ARS,GK,4.2,0.20891,0.26013,0.19537,0.24308,0.17684,0.26105,0.25588
74,O.Dango,BOU,MID,5,1.83081,1.76253,1.91732,1.83503,1.8975,1.82738,1.8541
75,Paulsen,BOU,GK,4,0,0,0,0,0,0,0
76,Philip,BOU,MID,4.8,0.48442,0.45131,0.52287,0.48887,0.52405,0.48425,0.51091
77,Scott,BOU,MID,4.7,0,0,0,0,0,0,0
78,Semenyo,BOU,MID,5.7,2.3222,1.83036,2.52056,1.91363,2.43105,1.90919,2.39235
79,Senesi,BOU,DEF,4.8,2.56876,2.40063,2.61553,2.65234,2.61622,2.65087,2.53732
80,Sinisterra,BOU,MID,4.9,0,0,0,0,0,0,0
81,Smith,BOU,DEF,4.5,2.2224,2.08794,2.19097,2.28323,2.14235,2.30158,2.07741
82,Solanke,TOT,FWD,7.6,3.03362,3.17619,3.48011,3.04867,3.0627,3.65773,3.40366
83,Tavernier,BOU,MID,5.5,2.52901,2.54741,2.71356,2.569,2.61857,2.59277,2.57346
84,Travers,BOU,GK,4.4,0.22931,0.21523,0.20673,0.27383,0.21339,0.26665,0.20289
85,Zabarnyi,BOU,DEF,4.4,2.54099,2.48646,2.50788,2.70974,2.47154,2.71817,2.40504
86,Ajer,BRE,DEF,4.4,0,0,0,0,0,0,0
87,Brierley,BRE,MID,4.5,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5
88,Collins,BRE,DEF,4.5,2.88015,2.60587,2.87841,2.52119,2.69668,2.57382,2.62887
89,Damsgaard,BRE,MID,5,2.63924,3.06869,2.62277,3.08297,2.6592,2.72986,2.98123
90,Dasilva,BRE,MID,4.8,0,0,0,0,0,0,0
91,Flekken,BRE,GK,4.5,4.60764,3.83872,4.57254,3.41256,4.38842,3.5204,4.81181
92,Henry,BRE,DEF,4.3,0,0,0,0,0,0,0
93,Hickey,BRE,DEF,4.3,0,0,0,0,0,0,0
94,Janelt,BRE,MID,4.9,2.40372,2.6606,2.26509,2.6166,2.28449,2.38519,2.55877
95,Jensen,BRE,MID,5.3,1.52296,2.12636,2.04603,2.33154,2.12754,2.10731,2.40896
96,Ji-soo,BRE,DEF,3.9,4.0E-5,3.0E-5,4.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5
97,Konak,BRE,MID,4.5,0.40836,0.41706,0.39489,0.41721,0.39934,0.38656,0.4606
98,Lewis-Potter,BRE,MID,5,2.27209,2.44992,2.18389,2.43684,2.21509,2.1766,2.5168
